"ShowDate"	"Venue"	"City"	"State"	"Set1"	"Set2"	"Set3"	"Comment"	"Artist"	"ShowID"
"02/04/94"	"Warfield Theater"	"San Francisco"	"CA"	"How Sweet It Is To Be Loved By You, it Is, Stop that Train, You Never Can Tell (C'est La Vie), Lay Down Sally, Struggling Man, My Sisters And Brothers, Deal"	"Shining Star, Money Honey, Wonderful World, The Maker, Don't Let Go, Night they Drove Ol' The Night They Drove Old The Night They Drove Old Dixie Down, Midnite Moonlight"	""	"Jerry Garcia Band: Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman."	"Jerry Garcia"	"14827"
"02/05/94"	"Warfield Theater"	"San Francisco"	"CA"	"How Sweet It Is To Be Loved By You,"	""	""	"Jerry Garcia Band: Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman. w/Melvin Seals & Choir"	"Jerry Garcia"	"14828"
"02/06/94"	"Warfield Theater"	"San Francisco"	"CA"	"Cats Under The Stars Down Under The Stars Under The Stars, Mission In The Rain, Like A Road, Let It Rock, Ain't No Bread In The Breadbox, My Sisters And Brothers, Somebody To Love"	"The Harder They Come, Money Honey, The Maker, Lazy Bones, Don't Let Go, Gomorrah, Tangled Up In Blue"	""	"Jerry Garcia Band: Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman. Dave Kemper was not the drummer for this run; Donny Baldwin, formerly of Starship, was the drummer"	"Jerry Garcia"	"14829"
"03/09/94"	"Warfield Theatre"	"San Francisco"	"CA"	"How Sweet It Is To Be Loved By You,, Stop That Train, Forever Young, Let it Rock, What a Wonderful World, My Sisters And Brothers, Lay Down Sally"	"Shining Star, The Maker, Tore Up Over You, The Harder They Come, Don't Let Go, The Night They Drove Old The Night They Drove Old Dixie Down, Midnight Moonlight"	""	"Jerry Garcia Band: Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman."	"Jerry Garcia"	"14830"
"04/18/94"	"Warfield Theater"	"San Francisco"	"CA"	"How Sweet It Is To Be Loved By You,, And It Stoned Me, Let It Rock, Run For The Roses, Like a Road, My Sisters And Brothers, Deal"	"The Harder They Come, Wonderful World, Tore Up Over You, Ain't No Bread In The Breadbox, Mission In The Rain, The Night They Drove Old Dixie Down, Midnight Moonlight"	""	"Jerry Garcia Band: Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman."	"Jerry Garcia"	"14831"
"02/02/90"	"Warfield Theater"	"San Francisco"	"CA"	"How Sweet It Is To Be Loved By You, Mission In The Rain, Run For The Roses, Stop That Train, I Second That Emotion, Senor (Tales Of Yankee Power), Deal"	"The Harder They Come, And It Stoned Me, Waiting For A Miracle, Mississippi Moon, Tore Up Over You, My Sisters And Brothers, Tangled Up In Blue"	""	"Jerry Garcia Band: Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman"	"Jerry Garcia"	"14708"
"02/03/90"	"Warfield Theater"	"San Francisco"	"CA"	"Cats Under The Stars Down Under The Stars, They Love Each Other, Forever Young, Someday Baby, Tore Up Over You, Senor (Tales Of Yankee Power), Deal"	"The Harder They Come, Tears Of Rage, Dear Prudence, Gomorrah, Evangeline, Don't Let Go, Midnight Moonlight"	""	"Jerry Garcia Band: Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman"	"Jerry Garcia"	"14709"
"02/04/90"	"Warfield Theater"	"San Francisco"	"CA"	"I'll Take A Melody, Get Out Of My Life Woman, Simple Twist Of Fate, Run For The Roses, Like A Road, Tears Of Rage, Deal"	"Let's Spend The Night Together, Senor (Tales Of Yankee Power), Think, And It Stoned Me, Waiting For A Miracle, That Lucky Old Sun, Tangled Up In Blue"	""	"Jerry Garcia Band: Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman"	"Jerry Garcia"	"14710"
"03/01/90"	"Warfield Theater"	"San Francisco"	"CA"	"How Sweet It Is To Be Loved By You,, Stop That Train, Simple Twist Of Fate, Run For The Roses, That's What Love Will Make You Do Will Make You Do, My Sisters And Brothers, Deal"	"The Harder They Come, And It Stoned Me, Senor (Tales Of Yankee Power), Tore Up Over You, Evangeline, That Lucky Old Sun, Midnight Moonlight"	""	"Jerry Garcia Band: Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman"	"Jerry Garcia"	"14711"
"03/02/90"	"Warfield Theater"	"San Francisco"	"CA"	"Cats Under The Stars Down Under The Stars, They Love Each Other, Forever Young, Tough Mama, The The The Way You Do The Things You Do The Things You Do, Like A Road, Deal"	"The Harder They Come, Mission In The Rain, Waiting For A Miracle, Tears Of Rage, Think, My Sisters And Brothers, Tangled Up In Blue"	""	"Jerry Garcia Band: Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman"	"Jerry Garcia"	"14712"
